playerID,Total_Games,Games_Started,Games_Pitched,Games_Catcher,Games_First_Base,Games_Second_Base,Games_Third_Base,Games_Short_Stop,Games_Left_Field,Games_Right_Field,Games_Center_Field,Games_Out_Field,Games_DH
ortonjo01,156,131,0,153,0,0,0,0,1,0,0,1,1
holbeaa01,23,5,0,0,2,5,2,0,0,0,0,0,0
bautijo02,1798,1636,0,0,30,6,415,0,69,1071,84,1202,120
tayloha01,438,NULL,0,2,330,19,6,14,23,50,0,73,0
allisma01,45,27,45,0,0,0,0,0,0,0,0,0,0
tipplda01,3,2,3,0,0,0,0,0,0,0,0,0,0
ewoldar01,9,9,0,0,0,0,9,0,0,0,0,0,0
gillepa01,89,51,0,56,0,0,0,0,0,1,0,1,0
loyndmi01,35,16,35,0,0,0,0,0,0,0,0,0,0
bradste01,34,10,0,0,0,0,0,0,10,2,6,17,0
galero01,17,4,0,11,0,0,0,0,0,0,0,0,0
donohpe01,346,267,344,0,0,0,0,0,0,0,0,0,0
plattwh01,333,235,0,0,2,0,0,0,207,14,33,252,0
donohto01,122,100,0,122,0,0,0,0,0,0,0,0,0
delroen01,84,0,84,0,0,0,0,0,0,0,0,0,0
meadoau01,59,40,0,0,0,0,0,0,13,20,15,47,2
addybo01,274,75,0,0,0,79,5,4,3,183,2,188,0
turbije01,13,NULL,0,0,0,0,0,13,0,0,0,0,0
lisenho01,207,107,207,0,0,0,0,0,0,0,0,0,0
stumpge01,118,54,0,0,0,0,0,0,30,36,11,76,0
batesbu01,15,14,0,0,0,0,0,0,1,0,13,14,0
fontera01,145,62,145,0,0,0,0,0,0,0,0,0,0
kremeji01,29,21,0,27,0,0,0,0,0,0,0,0,0
leathja01,24,0,24,0,0,0,0,0,0,0,0,0,0
bierblo01,1385,NULL,4,5,0,1366,14,3,0,0,0,0,0
blancgi01,28,9,28,0,0,0,0,0,0,0,0,0,0
martimi02,295,132,1,0,0,73,50,31,31,18,45,92,7
bagbyji01,325,208,316,0,0,0,0,0,0,0,0,0,0
strahdi01,9,0,9,0,0,0,0,0,0,0,0,0,0
clarkda05,905,442,0,0,0,0,0,0,215,228,0,434,109
forstsc01,42,0,42,0,0,0,0,0,0,0,0,0,0
willima07,76,46,0,0,0,0,0,0,8,35,25,64,1
sprigge01,130,45,0,0,0,0,0,0,14,41,1,56,0
bucknbi01,2517,2233,0,0,1556,0,0,0,485,171,0,645,125
zambred01,75,29,0,0,11,0,4,0,10,21,0,31,0
